Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
4.00288	leaf-1	0	39	FullDelay	0.00288	2880	1	2
4.01576	leaf-2	0	40	LastDelay	0.00576	5760	1	2
4.01576	leaf-2	0	40	FullDelay	0.00576	5760	1	2
4.02576	leaf-3	0	40	LastDelay	0.00576	5760	1	2
4.02576	leaf-3	0	40	FullDelay	0.00576	5760	1	2
4.03288	leaf-4	0	40	LastDelay	0.00288	2880	1	2
4.03288	leaf-4	0	40	FullDelay	0.00288	2880	1	2
4.10288	leaf-1	0	40	LastDelay	0.00288	2880	1	2
4.10288	leaf-1	0	40	FullDelay	0.00288	2880	1	2
4.11576	leaf-2	0	41	LastDelay	0.00576	5760	1	2
4.11576	leaf-2	0	41	FullDelay	0.00576	5760	1	2
4.12576	leaf-3	0	41	LastDelay	0.00576	5760	1	2
4.12576	leaf-3	0	41	FullDelay	0.00576	5760	1	2
4.13288	leaf-4	0	41	LastDelay	0.00288	2880	1	2
4.13288	leaf-4	0	41	FullDelay	0.00288	2880	1	2
4.20288	leaf-1	0	41	LastDelay	0.00288	2880	1	2
4.20288	leaf-1	0	41	FullDelay	0.00288	2880	1	2
4.21576	leaf-2	0	42	LastDelay	0.00576	5760	1	2
4.21576	leaf-2	0	42	FullDelay	0.00576	5760	1	2
4.22576	leaf-3	0	42	LastDelay	0.00576	5760	1	2
4.22576	leaf-3	0	42	FullDelay	0.00576	5760	1	2
4.23288	leaf-4	0	42	LastDelay	0.00288	2880	1	2
4.23288	leaf-4	0	42	FullDelay	0.00288	2880	1	2
4.30288	leaf-1	0	42	LastDelay	0.00288	2880	1	2
4.30288	leaf-1	0	42	FullDelay	0.00288	2880	1	2
4.31576	leaf-2	0	43	LastDelay	0.00576	5760	1	2
4.31576	leaf-2	0	43	FullDelay	0.00576	5760	1	2
4.32576	leaf-3	0	43	LastDelay	0.00576	5760	1	2
4.32576	leaf-3	0	43	FullDelay	0.00576	5760	1	2
4.33288	leaf-4	0	43	LastDelay	0.00288	2880	1	2
4.33288	leaf-4	0	43	FullDelay	0.00288	2880	1	2
4.40288	leaf-1	0	43	LastDelay	0.00288	2880	1	2
4.40288	leaf-1	0	43	FullDelay	0.00288	2880	1	2
